#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      1.11e+02    1.05e+02      2.71e-01    3.74e-01      3.50e+00    3.32e+00    1.0e-03
   1000      3.91e+01    3.91e+01      5.95e-02    4.89e-02      1.24e+00    1.24e+00    1.0e-03
   2000      3.21e+01    3.18e+01      2.73e-01    2.68e-01      1.02e+00    1.01e+00    1.0e-03
   3000      2.91e+01    3.50e+01      4.69e-03    7.02e-02      9.19e-01    1.11e+00    1.0e-03
   4000      2.86e+01    3.51e+01      3.38e-03    4.52e-02      9.05e-01    1.11e+00    1.0e-03
   5000      2.55e+01    2.69e+01      4.73e-02    3.67e-02      9.18e-01    9.65e-01    7.7e-04
   6000      2.99e+01    2.93e+01      5.15e-02    1.75e-02      1.08e+00    1.05e+00    7.7e-04
   7000      2.37e+01    2.28e+01      8.42e-02    8.64e-02      8.51e-01    8.20e-01    7.7e-04
   8000      2.31e+01    2.71e+01      4.48e-02    2.82e-02      8.28e-01    9.74e-01    7.7e-04
   9000      2.51e+01    2.61e+01      6.61e-02    4.26e-02      9.01e-01    9.38e-01    7.7e-04
  10000      2.30e+01    2.47e+01      3.66e-02    1.13e-02      9.40e-01    1.01e+00    6.0e-04
  11000      2.38e+01    2.36e+01      8.45e-02    9.06e-02      9.73e-01    9.63e-01    6.0e-04
  12000      2.09e+01    2.32e+01      2.26e-02    1.77e-02      8.55e-01    9.48e-01    6.0e-04
  13000      2.24e+01    2.52e+01      3.49e-02    2.64e-03      9.15e-01    1.03e+00    6.0e-04
  14000      2.32e+01    2.40e+01      5.61e-02    2.03e-02      9.49e-01    9.82e-01    6.0e-04
  15000      1.88e+01    1.75e+01      1.91e-02    2.97e-02      8.71e-01    8.12e-01    4.6e-04
  16000      1.96e+01    1.76e+01      8.06e-03    5.06e-02      9.10e-01    8.19e-01    4.6e-04
  17000      2.12e+01    1.68e+01      4.67e-02    5.32e-02      9.85e-01    7.79e-01    4.6e-04
  18000      9.53e+00    2.02e+01      1.39e-01    1.42e-02      4.37e-01    9.37e-01    4.6e-04
  19000      2.01e+01    1.78e+01      1.79e-02    2.25e-02      9.31e-01    8.29e-01    4.6e-04
  20000      1.73e+01    1.68e+01      3.66e-02    3.94e-03      9.12e-01    8.86e-01    3.6e-04
  21000      1.80e+01    1.72e+01      4.78e-02    4.60e-03      9.50e-01    9.08e-01    3.6e-04
  22000      1.60e+01    1.74e+01      2.02e-02    3.94e-02      8.44e-01    9.17e-01    3.6e-04
  23000      1.51e+01    1.47e+01      2.25e-02    1.36e-02      7.98e-01    7.76e-01    3.6e-04
